,Action_Space_Clip,Actor_Activation,Actor_Alpha,Actor_Batch_Size,Actor_Epoch,Actor_Learning_Rate,Actor_Network_Size,Critic_Activation,Critic_Alpha,Critic_Batch_Size,Critic_Epoch,Critic_Learning_Rate,Critic_Network_Size,Experiance_Mode,Gamma,Monte_Carlo_Frac,Retrain_Frequency,Score,Sigma_Anneal,Sigma_Range,TD_Lambda
0,75,Sigmoid,0.484617717,123,9,0.003805387,[6 3 4],Sigmoid,0.030894497,107,7,0.00131531,[7 5],TD_Lambda,0.856082751,0.010213627,33,-0.073529674,1,"[2.5845138296003984, 0.6669679253124087]",0.319916919
1,75,Sigmoid,0.226208801,190,8,0.007338508,[13  2],Sigmoid,0.443707961,99,2,0.00746668,[2],TD_Lambda,0.348386463,0.014208881,61,-0.058612628,1,"[2.3707265595455036, 0.574200619450915]",0.629448308
2,75,Sigmoid,0.484617717,190,8,0.002577595,[2],Sigmoid,0.038783985,231,7,0.005909373,[2],TD_Lambda,0.348386463,0.014208881,64,-0.142478392,1,"[2.5845138296003984, 0.6669679253124087]",0.319916919
3,75,Sigmoid,0.161962513,218,7,0.00052126,[ 8 11 12  8],Sigmoid,0.398968578,201,9,0.002717654,[13 11],TD_Lambda,0.856082751,0.000296553,28,-0.037716667,1,"[2.514930850639625, 0.36538225540864816]",0.07485461
4,75,Sigmoid,0.161962513,218,8,0.00052126,[ 8 11 12  8],Sigmoid,0.398968578,201,9,0.002717654,[13 11],TD_Lambda,0.738038354,0.000296553,28,-0.196927703,1,"[2.514930850639625, 0.36538225540864816]",0.07485461
5,75,Sigmoid,0.254730253,190,7,0.002042732,[13  2],Sigmoid,0.247815393,137,2,0.007017375,[8 8],TD_Lambda,0.348386463,0.014208881,74,-0.016792485,1,"[2.5119446964764025, 0.5167035173174523]",0.144518549
6,75,Sigmoid,0.226208801,190,8,0.007338508,[2],Sigmoid,0.443707961,137,2,0.005909373,[2],TD_Lambda,0.348386463,0.014208881,64,-0.089235549,1,"[2.3707265595455036, 0.574200619450915]",0.629448308
7,75,Sigmoid,0.029908422,217,7,0.00052126,[13  2],Sigmoid,0.398968578,99,2,0.002717654,[13 11],TD_Lambda,0.856082751,0.000296553,28,-0.074732782,1,"[2.5119446964764025, 0.5167035173174523]",0.07485461
8,75,Sigmoid,0.484617717,123,7,0.00052126,[6 3 4],Sigmoid,0.398968578,107,2,0.002717654,[13 11],TD_Lambda,0.856082751,0.010213627,28,-0.044591606,1,"[2.5119446964764025, 0.5167035173174523]",0.319916919
9,75,Sigmoid,0.484617717,218,9,0.003805387,[ 8 11 12  8],Sigmoid,0.398968578,107,7,0.002717654,[13 11],TD_Lambda,0.856082751,0.000296553,28,-0.097346345,1,"[2.5845138296003984, 0.6669679253124087]",0.07485461
10,75,Sigmoid,0.484617717,190,8,0.00052126,[2],Sigmoid,0.038783985,231,7,0.005909373,[2],TD_Lambda,0.856082751,0.014208881,64,-0.10406054,1,"[2.5845138296003984, 0.6669679253124087]",0.07485461
11,75,Sigmoid,0.226208801,190,8,0.007338508,[13  2],Sigmoid,0.443707961,99,7,0.005909373,[2],TD_Lambda,0.348386463,0.014208881,61,-0.265648425,1,"[2.514930850639625, 0.36538225540864816]",0.07485461
12,75,Sigmoid,0.161962513,218,8,0.00052126,[ 8 11 12  8],Sigmoid,0.398968578,201,9,0.002717654,[13 11],TD_Lambda,0.856082751,0.000296553,28,-0.023849742,1,"[2.514930850639625, 0.36538225540864816]",0.07485461
13,75,Sigmoid,0.484617717,123,9,0.003805387,[ 8 11 12  8],Sigmoid,0.030894497,201,7,0.002717654,[13 11],TD_Lambda,0.738038354,0.000296553,28,-0.061318869,1,"[2.5845138296003984, 0.6669679253124087]",0.319916919
14,75,Sigmoid,0.183009978,190,8,0.00052126,[ 8 11 12  8],Sigmoid,0.398968578,201,9,0.002717654,[13 11],TD_Lambda,0.738038354,0.000296553,28,-0.134730428,1,"[2.5845138296003984, 0.6669679253124087]",0.319916919
15,75,Sigmoid,0.226208801,85,8,0.002042732,[13  2],Sigmoid,0.443707961,99,2,0.002717654,[8 8],TD_Lambda,0.348386463,0.014208881,61,-0.043777562,1,"[2.3707265595455036, 0.574200619450915]",0.07485461